question_type,question,answer
symptoms,What are the symptoms of Achondroplasia ?,
exams and tests,How to diagnose Achondroplasia ?,
treatment,What are the treatments for Achondroplasia ?,
outlook,What is the outlook for Achondroplasia ?,
complications,What are the complications of Achondroplasia ?,
when to contact a medical professional,Do I need to see a doctor for Achondroplasia ?,
prevention,How to prevent Achondroplasia ?,
information,Do you have information about Acid loading test (pH),
information,Do you have information about Acid mucopolysaccharides,
information,Do you have information about Acid soldering flux poisoning,
information,Do you have information about Acid-fast stain,
information,What is (are) Acidosis ?,
causes,What causes Acidosis ?,
symptoms,What are the symptoms of Acidosis ?,
exams and tests,How to diagnose Acidosis ?,
treatment,What are the treatments for Acidosis ?,
outlook,What is the outlook for Acidosis ?,
complications,What are the complications of Acidosis ?,
when to contact a medical professional,Do I need to see a doctor for Acidosis ?,
prevention,How to prevent Acidosis ?,
information,Do you have information about ACL reconstruction,
information,Do you have information about ACL reconstruction - discharge,
information,What is (are) Acne ?,
causes,What causes Acne ?,
symptoms,What are the symptoms of Acne ?,
exams and tests,How to diagnose Acne ?,
treatment,What are the treatments for Acne ?,
outlook,What is the outlook for Acne ?,
when to contact a medical professional,Do I need to see a doctor for Acne ?,
information,What is (are) Acne - self-care ?,
treatment,What are the treatments for Acne - self-care ?,
when to contact a medical professional,Do I need to see a doctor for Acne - self-care ?,
information,What is (are) Acoustic neuroma ?,
causes,What causes Acoustic neuroma ?,
symptoms,What are the symptoms of Acoustic neuroma ?,
exams and tests,How to diagnose Acoustic neuroma ?,
treatment,What are the treatments for Acoustic neuroma ?,
outlook,What is the outlook for Acoustic neuroma ?,
complications,What are the complications of Acoustic neuroma ?,
when to contact a medical professional,Do I need to see a doctor for Acoustic neuroma ?,
information,What is (are) Acoustic trauma ?,
causes,What causes Acoustic trauma ?,
symptoms,What are the symptoms of Acoustic trauma ?,
exams and tests,How to diagnose Acoustic trauma ?,
treatment,What are the treatments for Acoustic trauma ?,
outlook,What is the outlook for Acoustic trauma ?,
complications,What are the complications of Acoustic trauma ?,
when to contact a medical professional,Do I need to see a doctor for Acoustic trauma ?,
prevention,How to prevent Acoustic trauma ?,
information,What is (are) Acquired platelet function defect ?,
causes,What causes Acquired platelet function defect ?,
symptoms,What are the symptoms of Acquired platelet function defect ?,
exams and tests,How to diagnose Acquired platelet function defect ?,
treatment,What are the treatments for Acquired platelet function defect ?,
outlook,What is the outlook for Acquired platelet function defect ?,
complications,What are the complications of Acquired platelet function defect ?,
when to contact a medical professional,Do I need to see a doctor for Acquired platelet function defect ?,
prevention,How to prevent Acquired platelet function defect ?,
information,What is (are) Acrodermatitis ?,
causes,What causes Acrodermatitis ?,
symptoms,What are the symptoms of Acrodermatitis ?,
exams and tests,How to diagnose Acrodermatitis ?,
treatment,What are the treatments for Acrodermatitis ?,
outlook,What is the outlook for Acrodermatitis ?,
complications,What are the complications of Acrodermatitis ?,
when to contact a medical professional,Do I need to see a doctor for Acrodermatitis ?,
information,What is (are) Acrodysostosis ?,
causes,What causes Acrodysostosis ?,
symptoms,What are the symptoms of Acrodysostosis ?,
exams and tests,How to diagnose Acrodysostosis ?,
treatment,What are the treatments for Acrodysostosis ?,
outlook,What is the outlook for Acrodysostosis ?,
complications,What are the complications of Acrodysostosis ?,
when to contact a medical professional,Do I need to see a doctor for Acrodysostosis ?,
prevention,How to prevent Acrodysostosis ?,
information,What is (are) Acromegaly ?,
causes,What causes Acromegaly ?,
symptoms,What are the symptoms of Acromegaly ?,
exams and tests,How to diagnose Acromegaly ?,
treatment,What are the treatments for Acromegaly ?,
outlook,What is the outlook for Acromegaly ?,
when to contact a medical professional,Do I need to see a doctor for Acromegaly ?,
prevention,How to prevent Acromegaly ?,
information,Do you have information about ACTH (cosyntropin) stimulation test,
information,Do you have information about ACTH blood test,
information,What is (are) Actinic keratosis ?,
causes,What causes Actinic keratosis ?,
symptoms,What are the symptoms of Actinic keratosis ?,
exams and tests,How to diagnose Actinic keratosis ?,
treatment,What are the treatments for Actinic keratosis ?,
outlook,What is the outlook for Actinic keratosis ?,
when to contact a medical professional,Do I need to see a doctor for Actinic keratosis ?,
prevention,How to prevent Actinic keratosis ?,
information,What is (are) Actinomycosis ?,
causes,What causes Actinomycosis ?,
symptoms,What are the symptoms of Actinomycosis ?,
exams and tests,How to diagnose Actinomycosis ?,
treatment,What are the treatments for Actinomycosis ?,
outlook,What is the outlook for Actinomycosis ?,
complications,What are the complications of Actinomycosis ?,
when to contact a medical professional,Do I need to see a doctor for Actinomycosis ?,
prevention,How to prevent Actinomycosis ?,
information,Do you have information about Acute,
information,What is (are) Acute adrenal crisis ?,
causes,What causes Acute adrenal crisis ?,
symptoms,What are the symptoms of Acute adrenal crisis ?,
exams and tests,How to diagnose Acute adrenal crisis ?,
treatment,What are the treatments for Acute adrenal crisis ?,
outlook,What is the outlook for Acute adrenal crisis ?,
when to contact a medical professional,Do I need to see a doctor for Acute adrenal crisis ?,
prevention,How to prevent Acute adrenal crisis ?,
information,What is (are) Acute arterial occlusion - kidney ?,
causes,What causes Acute arterial occlusion - kidney ?,
symptoms,What are the symptoms of Acute arterial occlusion - kidney ?,
exams and tests,How to diagnose Acute arterial occlusion - kidney ?,
treatment,What are the treatments for Acute arterial occlusion - kidney ?,
outlook,What is the outlook for Acute arterial occlusion - kidney ?,
complications,What are the complications of Acute arterial occlusion - kidney ?,
when to contact a medical professional,Do I need to see a doctor for Acute arterial occlusion - kidney ?,
prevention,How to prevent Acute arterial occlusion - kidney ?,
information,What is (are) Acute cerebellar ataxia ?,
causes,What causes Acute cerebellar ataxia ?,
symptoms,What are the symptoms of Acute cerebellar ataxia ?,
exams and tests,How to diagnose Acute cerebellar ataxia ?,
treatment,What are the treatments for Acute cerebellar ataxia ?,
outlook,What is the outlook for Acute cerebellar ataxia ?,
complications,What are the complications of Acute cerebellar ataxia ?,
when to contact a medical professional,Do I need to see a doctor for Acute cerebellar ataxia ?,
information,What is (are) Acute cholecystitis ?,
causes,What causes Acute cholecystitis ?,
symptoms,What are the symptoms of Acute cholecystitis ?,
exams and tests,How to diagnose Acute cholecystitis ?,
treatment,What are the treatments for Acute cholecystitis ?,
outlook,What is the outlook for Acute cholecystitis ?,
complications,What are the complications of Acute cholecystitis ?,
when to contact a medical professional,Do I need to see a doctor for Acute cholecystitis ?,
prevention,How to prevent Acute cholecystitis ?,
information,What is (are) Acute coronary syndrome ?,
causes,What causes Acute coronary syndrome ?,
symptoms,What are the symptoms of Acute coronary syndrome ?,
exams and tests,How to diagnose Acute coronary syndrome ?,
treatment,What are the treatments for Acute coronary syndrome ?,
outlook,What is the outlook for Acute coronary syndrome ?,
complications,What are the complications of Acute coronary syndrome ?,
when to contact a medical professional,Do I need to see a doctor for Acute coronary syndrome ?,
prevention,How to prevent Acute coronary syndrome ?,
information,What is (are) Acute cytomegalovirus (CMV) infection ?,
causes,What causes Acute cytomegalovirus (CMV) infection ?,
symptoms,What are the symptoms of Acute cytomegalovirus (CMV) infection ?,
exams and tests,How to diagnose Acute cytomegalovirus (CMV) infection ?,
treatment,What are the treatments for Acute cytomegalovirus (CMV) infection ?,
outlook,What is the outlook for Acute cytomegalovirus (CMV) infection ?,
complications,What are the complications of Acute cytomegalovirus (CMV) infection ?,
when to contact a medical professional,Do I need to see a doctor for Acute cytomegalovirus (CMV) infection ?,
prevention,How to prevent Acute cytomegalovirus (CMV) infection ?,
information,What is (are) Acute kidney failure ?,
causes,What causes Acute kidney failure ?,
symptoms,What are the symptoms of Acute kidney failure ?,
exams and tests,How to diagnose Acute kidney failure ?,
treatment,What are the treatments for Acute kidney failure ?,
when to contact a medical professional,Do I need to see a doctor for Acute kidney failure ?,
prevention,How to prevent Acute kidney failure ?,
information,What is (are) Acute lymphoblastic leukemia (ALL) ?,
causes,What causes Acute lymphoblastic leukemia (ALL) ?,
symptoms,What are the symptoms of Acute lymphoblastic leukemia (ALL) ?,
exams and tests,How to diagnose Acute lymphoblastic leukemia (ALL) ?,
treatment,What are the treatments for Acute lymphoblastic leukemia (ALL) ?,
support groups,Where to find support for people with Acute lymphoblastic leukemia (ALL) ?,
outlook,What is the outlook for Acute lymphoblastic leukemia (ALL) ?,
complications,What are the complications of Acute lymphoblastic leukemia (ALL) ?,
when to contact a medical professional,Do I need to see a doctor for Acute lymphoblastic leukemia (ALL) ?,
prevention,How to prevent Acute lymphoblastic leukemia (ALL) ?,
information,What is (are) Acute mountain sickness ?,
causes,What causes Acute mountain sickness ?,
symptoms,What are the symptoms of Acute mountain sickness ?,
exams and tests,How to diagnose Acute mountain sickness ?,
treatment,What are the treatments for Acute mountain sickness ?,
outlook,What is the outlook for Acute mountain sickness ?,
complications,What are the complications of Acute mountain sickness ?,
when to contact a medical professional,Do I need to see a doctor for Acute mountain sickness ?,
prevention,How to prevent Acute mountain sickness ?,
information,What is (are) Acute myelogenous leukemia (AML) - children ?,
causes,What causes Acute myelogenous leukemia (AML) - children ?,
symptoms,What are the symptoms of Acute myelogenous leukemia (AML) - children ?,
exams and tests,How to diagnose Acute myelogenous leukemia (AML) - children ?,
treatment,What are the treatments for Acute myelogenous leukemia (AML) - children ?,
support groups,Where to find support for people with Acute myelogenous leukemia (AML) - children ?,
outlook,What is the outlook for Acute myelogenous leukemia (AML) - children ?,
complications,What are the complications of Acute myelogenous leukemia (AML) - children ?,
when to contact a medical professional,Do I need to see a doctor for Acute myelogenous leukemia (AML) - children ?,
prevention,How to prevent Acute myelogenous leukemia (AML) - children ?,
information,What is (are) Acute myeloid leukemia ?,
causes,What causes Acute myeloid leukemia ?,
symptoms,What are the symptoms of Acute myeloid leukemia ?,
exams and tests,How to diagnose Acute myeloid leukemia ?,
treatment,What are the treatments for Acute myeloid leukemia ?,
support groups,Where to find support for people with Acute myeloid leukemia ?,
outlook,What is the outlook for Acute myeloid leukemia ?,
when to contact a medical professional,Do I need to see a doctor for Acute myeloid leukemia ?,
prevention,How to prevent Acute myeloid leukemia ?,
information,What is (are) Acute nephritic syndrome ?,
causes,What causes Acute nephritic syndrome ?,
symptoms,What are the symptoms of Acute nephritic syndrome ?,
exams and tests,How to diagnose Acute nephritic syndrome ?,
treatment,What are the treatments for Acute nephritic syndrome ?,
support groups,Where to find support for people with Acute nephritic syndrome ?,
outlook,What is the outlook for Acute nephritic syndrome ?,
when to contact a medical professional,Do I need to see a doctor for Acute nephritic syndrome ?,
prevention,How to prevent Acute nephritic syndrome ?,
information,What is (are) Acute pancreatitis ?,
causes,What causes Acute pancreatitis ?,
symptoms,What are the symptoms of Acute pancreatitis ?,
exams and tests,How to diagnose Acute pancreatitis ?,
treatment,What are the treatments for Acute pancreatitis ?,
outlook,What is the outlook for Acute pancreatitis ?,
complications,What are the complications of Acute pancreatitis ?,
when to contact a medical professional,Do I need to see a doctor for Acute pancreatitis ?,
prevention,How to prevent Acute pancreatitis ?,
information,What is (are) Acute respiratory distress syndrome ?,
causes,What causes Acute respiratory distress syndrome ?,
symptoms,What are the symptoms of Acute respiratory distress syndrome ?,
exams and tests,How to diagnose Acute respiratory distress syndrome ?,
treatment,What are the treatments for Acute respiratory distress syndrome ?,
support groups,Where to find support for people with Acute respiratory distress syndrome ?,
outlook,What is the outlook for Acute respiratory distress syndrome ?,
complications,What are the complications of Acute respiratory distress syndrome ?,
when to contact a medical professional,Do I need to see a doctor for Acute respiratory distress syndrome ?,
information,What is (are) Acute tubular necrosis ?,
causes,What causes Acute tubular necrosis ?,
symptoms,What are the symptoms of Acute tubular necrosis ?,
exams and tests,How to diagnose Acute tubular necrosis ?,
treatment,What are the treatments for Acute tubular necrosis ?,
outlook,What is the outlook for Acute tubular necrosis ?,
when to contact a medical professional,Do I need to see a doctor for Acute tubular necrosis ?,
prevention,How to prevent Acute tubular necrosis ?,
information,What is (are) Addison disease ?,
causes,What causes Addison disease ?,
symptoms,What are the symptoms of Addison disease ?,
exams and tests,How to diagnose Addison disease ?,
treatment,What are the treatments for Addison disease ?,
outlook,What is the outlook for Addison disease ?,
complications,What are the complications of Addison disease ?,
when to contact a medical professional,Do I need to see a doctor for Addison disease ?,
information,Do you have information about Adenoid removal,
information,What is (are) Adenomyosis ?,
causes,What causes Adenomyosis ?,
symptoms,What are the symptoms of Adenomyosis ?,
exams and tests,How to diagnose Adenomyosis ?,
treatment,What are the treatments for Adenomyosis ?,
outlook,What is the outlook for Adenomyosis ?,
when to contact a medical professional,Do I need to see a doctor for Adenomyosis ?,
information,What is (are) Adhesion ?,
causes,What causes Adhesion ?,
symptoms,What are the symptoms of Adhesion ?,
exams and tests,How to diagnose Adhesion ?,
treatment,What are the treatments for Adhesion ?,
outlook,What is the outlook for Adhesion ?,
complications,What are the complications of Adhesion ?,
when to contact a medical professional,Do I need to see a doctor for Adhesion ?,
information,What is (are) Adjustment disorder ?,
causes,What causes Adjustment disorder ?,
symptoms,What are the symptoms of Adjustment disorder ?,
exams and tests,How to diagnose Adjustment disorder ?,
treatment,What are the treatments for Adjustment disorder ?,
outlook,What is the outlook for Adjustment disorder ?,
when to contact a medical professional,Do I need to see a doctor for Adjustment disorder ?,
information,What is (are) Adolescent development ?,
information,What is (are) Adolescent development ?,
information,What is (are) Adolescent test or procedure preparation ?,
information,What is (are) Adolescent test or procedure preparation ?,
information,Do you have information about Adrenal glands,
information,Do you have information about Adrenalectomy,
information,Do you have information about Adrenergic bronchodilator overdose,
information,What is (are) Adrenocortical carcinoma ?,
causes,What causes Adrenocortical carcinoma ?,
symptoms,What are the symptoms of Adrenocortical carcinoma ?,
exams and tests,How to diagnose Adrenocortical carcinoma ?,
treatment,What are the treatments for Adrenocortical carcinoma ?,
outlook,What is the outlook for Adrenocortical carcinoma ?,
complications,What are the complications of Adrenocortical carcinoma ?,
when to contact a medical professional,Do I need to see a doctor for Adrenocortical carcinoma ?,
information,What is (are) Adrenoleukodystrophy ?,
causes,What causes Adrenoleukodystrophy ?,
symptoms,What are the symptoms of Adrenoleukodystrophy ?,
exams and tests,How to diagnose Adrenoleukodystrophy ?,
treatment,What are the treatments for Adrenoleukodystrophy ?,
outlook,What is the outlook for Adrenoleukodystrophy ?,
complications,What are the complications of Adrenoleukodystrophy ?,
when to contact a medical professional,Do I need to see a doctor for Adrenoleukodystrophy ?,
prevention,How to prevent Adrenoleukodystrophy ?,
information,What is (are) Adult soft tissue sarcoma ?,
causes,What causes Adult soft tissue sarcoma ?,
symptoms,What are the symptoms of Adult soft tissue sarcoma ?,
exams and tests,How to diagnose Adult soft tissue sarcoma ?,
treatment,What are the treatments for Adult soft tissue sarcoma ?,
support groups,Where to find support for people with Adult soft tissue sarcoma ?,
outlook,What is the outlook for Adult soft tissue sarcoma ?,
complications,What are the complications of Adult soft tissue sarcoma ?,
when to contact a medical professional,Do I need to see a doctor for Adult soft tissue sarcoma ?,
prevention,How to prevent Adult soft tissue sarcoma ?,
information,What is (are) Adult Still's disease ?,
causes,What causes Adult Still's disease ?,
symptoms,What are the symptoms of Adult Still's disease ?,
exams and tests,How to diagnose Adult Still's disease ?,
treatment,What are the treatments for Adult Still's disease ?,
outlook,What is the outlook for Adult Still's disease ?,
complications,What are the complications of Adult Still's disease ?,
when to contact a medical professional,Do I need to see a doctor for Adult Still's disease ?,
information,What is (are) Advance care directives ?,
information,What is (are) Advance care directives ?,
information,Do you have information about Aerobic,
information,What is (are) Aerobic bacteria ?,
information,Do you have information about Aflatoxin,
information,Do you have information about After a C-section - in the hospital,
information,What is (are) After a fall in the hospital ?,
information,Do you have information about After an exposure to sharps or body fluids,
information,Do you have information about After chemotherapy - discharge,
information,What is (are) After vaginal delivery - in the hospital ?,
outlook,What is the outlook for After vaginal delivery - in the hospital ?,
information,Do you have information about Aftershave poisoning,
information,What is (are) Agammaglobulinemia ?,
causes,What causes Agammaglobulinemia ?,
symptoms,What are the symptoms of Agammaglobulinemia ?,
exams and tests,How to diagnose Agammaglobulinemia ?,
treatment,What are the treatments for Agammaglobulinemia ?,
outlook,What is the outlook for Agammaglobulinemia ?,
complications,What are the complications of Agammaglobulinemia ?,
when to contact a medical professional,Do I need to see a doctor for Agammaglobulinemia ?,
prevention,How to prevent Agammaglobulinemia ?,
information,What is (are) Age-related hearing loss ?,
causes,What causes Age-related hearing loss ?,
symptoms,What are the symptoms of Age-related hearing loss ?,
exams and tests,How to diagnose Age-related hearing loss ?,
treatment,What are the treatments for Age-related hearing loss ?,
outlook,What is the outlook for Age-related hearing loss ?,
complications,What are the complications of Age-related hearing loss ?,
when to contact a medical professional,Do I need to see a doctor for Age-related hearing loss ?,
information,Do you have information about Aging changes in body shape,
information,Do you have information about Aging changes in hair and nails,
information,Do you have information about Aging changes in hormone production,
information,Do you have information about Aging changes in immunity,
information,Do you have information about Aging changes in organs - tissue - cells,
information,Do you have information about Aging changes in skin,
information,Do you have information about Aging changes in sleep,
information,Do you have information about Aging changes in the bones - muscles - joints,
information,Do you have information about Aging changes in the breast,
information,Do you have information about Aging changes in the face,
information,Do you have information about Aging changes in the female reproductive system,
information,Do you have information about Aging changes in the heart and blood vessels,
information,Do you have information about Aging changes in the kidneys and bladder,
information,Do you have information about Aging changes in the lungs,
information,Do you have information about Aging changes in the male reproductive system,
information,Do you have information about Aging changes in the nervous system,
information,Do you have information about Aging changes in the senses,
information,Do you have information about Aging changes in vital signs,
information,What is (are) Aging spots -- should you be concerned? ?,
information,What is (are) Agitation ?,
considerations,What to do for Agitation ?,
causes,What causes Agitation ?,
considerations,What to do for Agitation ?,
when to contact a medical professional,Do I need to see a doctor for Agitation ?,
outlook,What is the outlook for Agitation ?,
information,What is (are) Agoraphobia ?,
causes,What causes Agoraphobia ?,
symptoms,What are the symptoms of Agoraphobia ?,
exams and tests,How to diagnose Agoraphobia ?,
treatment,What are the treatments for Agoraphobia ?,
outlook,What is the outlook for Agoraphobia ?,
complications,What are the complications of Agoraphobia ?,
when to contact a medical professional,Do I need to see a doctor for Agoraphobia ?,
prevention,How to prevent Agoraphobia ?,
information,What is (are) Agranulocytosis ?,
causes,What causes Agranulocytosis ?,
symptoms,What are the symptoms of Agranulocytosis ?,
exams and tests,How to diagnose Agranulocytosis ?,
treatment,What are the treatments for Agranulocytosis ?,
outlook,What is the outlook for Agranulocytosis ?,
prevention,How to prevent Agranulocytosis ?,
information,What is (are) Aicardi syndrome ?,
causes,What causes Aicardi syndrome ?,
symptoms,What are the symptoms of Aicardi syndrome ?,
exams and tests,How to diagnose Aicardi syndrome ?,
treatment,What are the treatments for Aicardi syndrome ?,
support groups,Where to find support for people with Aicardi syndrome ?,
outlook,What is the outlook for Aicardi syndrome ?,
complications,What are the complications of Aicardi syndrome ?,
when to contact a medical professional,Do I need to see a doctor for Aicardi syndrome ?,
information,What is (are) AIDS - resources ?,
information,Do you have information about Alanine transaminase (ALT) blood test,
information,What is (are) Albinism ?,
causes,What causes Albinism ?,
symptoms,What are the symptoms of Albinism ?,
exams and tests,How to diagnose Albinism ?,
treatment,What are the treatments for Albinism ?,
support groups,Where to find support for people with Albinism ?,
outlook,What is the outlook for Albinism ?,
complications,What are the complications of Albinism ?,
